Year,Period,Days,Price_npv_CHF_MWh,Price_pv_CHF_MWh,Volume_pv_MWh
2018,"Q1",90,58.1,61.75,129448
2018,"Q2",91,43.11,43.09,440983
2018,"Q3",92,64.8,65.08,426576
2018,"Q4",92,74.21,80.33,127504
2019,"Q1",90,55.43,48.97,192671
2019,"Q2",91,40.79,38.05,434787
2019,"Q3",92,39.9,39.97,428631
2019,"Q4",92,46.28,47.77,126112
2020,"Q1",91,36.64,32.33,218425
2020,"Q2",91,21.11,18.15,519526
2020,"Q3",92,40.86,39.09,481904
2020,"Q4",92,47.12,45.17,138523
2021,"Q1",90,62.09,59.64,210771
2021,"Q2",91,71.28,65.62,618610
2021,"Q3",92,108.46,99.91,573427
2021,"Q4",92,248.32,230.68,171824
2022,"Q1",90,254.26,262.46,314619
2022,"Q2",91,231.95,216.53,730299
2022,"Q3",92,413.89,402.58,718445
2022,"Q4",92,223.93,197.24,206335
2023,"Q1",90,143.88,131.42,288183
2023,"Q2",91,95.92,76.92,818110
